
[INFO] {2022-04-26 00:39:17} | views | admin@admin.ru IP:127.0.0.1 | Path:/login | [Success login]
[INFO] {2022-05-10 14:13:21} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 14:13:50} | views | user@user.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-10 14:14:32} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 14:14:34} | views | user@user.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-10 14:29:09} | views | user@user.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-10 14:29:41} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 14:29:45} | views | user@user.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-10 14:33:08} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 14:33:13} | views | user@user.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-10 14:42:26} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-10 14:42:29} | views | user@user.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-11 17:59:09} | views | AnonymousUser IP:192.168.176.4 | Path:/logout | [Logout]
[INFO] {2022-05-11 17:59:13} | views | admin@admin.ru IP:192.168.176.4 | Path:/login | [Success login]
[INFO] {2022-05-11 18:56:41} | views | admin@admin.ru IP:192.168.208.4 | Path:/login | [Success login]
[INFO] {2022-05-11 18:57:21} | views | AnonymousUser IP:192.168.208.4 | Path:/logout | [Logout]
[INFO] {2022-05-11 18:58:31} | views | testadmin@admin.ru IP:192.168.208.4 | Path:/login | [Success login]
[INFO] {2022-05-11 18:59:05} | views | AnonymousUser IP:192.168.208.4 | Path:/logout | [Logout]
[INFO] {2022-05-11 18:59:17} | views | testadmin@admin.ru IP:192.168.208.4 | Path:/login | [Success login]
[INFO] {2022-05-12 19:51:45} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 19:51:55} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 19:52:55} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 19:53:01} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 19:53:43} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 19:54:20} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 19:54:37} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 19:54:44} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:03:22} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:17:08} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:17:19} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:17:24} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:18:24} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:18:31} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:20:39} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:21:37} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:21:49} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:21:58} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:22:01} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:22:53} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:23:13} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:23:19} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:25:00} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:27:11} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:27:23} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:28:14} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:28:17} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:28:23} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:29:05} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:29:07} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:29:12} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:30:18} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:30:22} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:30:27} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:48:49} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:48:55} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:49:34} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:50:02} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:50:32} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:51:57} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:54:32} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-12 20:54:36} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-12 20:54:43} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 12:49:31} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 12:49:37} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 12:50:11} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 12:50:54} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 12:52:15} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 12:52:26} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:22:40} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:22:46} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:29:42} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:30:33} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:35:18} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:35:48} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 13:35:54} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:36:04} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 13:36:09} | views | testadmin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:37:53} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 13:37:57} | views | user@user.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 13:53:50} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 13:53:55} | views | admin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 14:01:31} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 14:01:36} | views | user@user.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 14:04:28} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 14:04:33} | views | admin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 14:04:36} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 14:04:42} | views | user@user.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 14:07:13} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 14:07:21} | views | user@user.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 14:07:28} | views | admin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 14:12:40} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 14:24:49} | views | admin@admin.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-05-15 14:24:51} | views | AnonymousUser IP:192.168.224.4 | Path:/logout | [Logout]
[INFO] {2022-05-15 14:24:59} | views | user@user.ru IP:192.168.224.4 | Path:/login | [Success login]
[INFO] {2022-06-01 18:08:04} | views | admin@admin.ru IP:172.19.0.4 | Path:/login | [Success login]
